Data;MediaDiaria;Maxima;Minima;Media
01/04/2009;0;209,245;109,939;163,289
01/04/2009;0;201,988;109,939;162,18
01/01/2015;1;;;
01/01/2015;1;;;
01/02/2015;1;132,359;31,357;65,574
01/03/2015;1;186,639;58,229;95,156
01/03/2015;1;186,639;58,229;95,156
01/04/2015;1;121,927;61,397;84,616
01/05/2015;1;90,707;49,099;68,973
01/05/2015;1;90,707;49,099;68,973
01/06/2015;1;75,531;33,254;49,599
01/06/2015;1;75,531;33,254;49,599
01/07/2015;1;;;
01/07/2015;1;;;
01/08/2015;1;32,617;27,091;29,673
01/08/2015;1;32,617;27,091;29,673
01/09/2015;1;36,506;17,721;25,138
01/09/2015;1;36,506;17,721;25,138
01/10/2015;1;25,915;12,467;18
01/10/2015;1;25,915;12,467;18
01/11/2015;1;61,397;22,502;40,603
01/11/2015;1;61,397;22,502;40,603
01/12/2015;1;111,81;38,509;58,809
01/12/2015;1;111,81;38,509;58,809
01/01/2016;1;328,644;48,364;144,916
01/01/2016;1;328,644;48,364;144,916
01/02/2016;1;132,359;65,443;92,432
01/02/2016;1;132,359;65,443;92,432
01/03/2016;1;174,775;67,915;117,123
01/03/2016;1;174,775;67,915;117,123
01/04/2016;1;117,842;42,632;60,366
01/04/2016;1;117,842;42,632;60,366
01/05/2016;1;46,906;39,866;42,334
01/05/2016;1;46,906;39,866;42,334
01/06/2016;1;75,531;34,541;47,827
01/06/2016;1;75,531;34,541;47,827
01/07/2016;1;59,805;27,091;34,602
01/07/2016;1;59,805;27,091;34,602
01/08/2016;1;40,551;24,758;28,459
01/08/2016;1;40,551;24,758;28,459
01/09/2016;1;23,62;14,299;19,201
01/09/2016;1;23,62;14,299;19,201
01/10/2016;1;59,805;13,372;32,042
01/10/2016;1;59,805;13,372;32,042
01/11/2016;1;142,014;31,985;77,595
01/11/2016;1;142,014;31,985;77,595
01/12/2016;1;180,671;59,015;113,61
01/12/2016;1;180,671;59,015;113,61
01/01/2017;1;223,402;58,229;112,425
01/01/2017;1;223,402;58,229;112,425
01/02/2017;1;183,05;63,813;107,811
01/02/2017;1;183,05;63,813;107,811
01/03/2017;1;128,149;63,813;90,84
01/03/2017;1;128,149;63,813;90,84
01/04/2017;1;102,983;55,893;72,161
