01/09/1941;193,909;59,227;95,099
01/10/1941;198,178;30,415;80,256
01/11/1941;102,885;32,831;53,137
01/12/1941;124,893;35,329;67,16
01/01/1942;261,286;30,415;91,492
01/02/1942;49,998;9,149;23,966
01/03/1942;20,637;9,521;13,403
01/04/1942;14,766;12,401;13,078
01/05/1942;19,124;13,315;16,492
01/06/1942;39,67;27,322;30,833
01/07/1942;39,226;27,322;30,981
01/08/1942;68,006;34,487;46,104
01/09/1942;102,885;41,924;60,722
01/10/1942;133,154;61,371;81,835
01/11/1942;817,089;74,941;334,532
01/12/1942;121,216;37,907;57,465
01/01/1943;63,549;12,179;34,572
01/02/1943;15,272;8,26;11,324
01/03/1943;11,959;8,09;10,133
01/04/1943;16,854;11,528;14,769
01/05/1943;26,945;15,788;19,621
01/06/1943;35,329;25,83;29,883
01/07/1943;69,141;34,907;46,184
01/08/1943;83,406;40,565;49,95
01/09/1943;147,971;46,12;69,86
01/10/1943;115,434;40,565;65,755
01/11/1943;297,558;38,784;82,534
01/12/1943;104,248;15,788;58,069
01/01/1944;24,376;8,787;17,535
01/02/1944;15,788;9,903;12,156
01/03/1944;22,96;15,018;17,478
01/04/1944;27,322;19,124;22,465
01/05/1944;58,167;27,322;36,354
01/06/1944;44,234;30,415;34,954
01/07/1944;79,729;33,655;44,331
01/08/1944;369,594;217,788;272,342
01/09/1944;399,373;226,712;269,757
01/10/1944;399,373;226,712;269,757
01/11/1944;;;
01/12/1944;;;
01/01/1945;82,173;22,96;39,781
01/02/1945;82,173;22,96;39,781
01/03/1945;76,126;15,788;31,944
01/04/1945;76,126;15,788;31,944
01/05/1945;15,788;8,09;10,693
01/06/1945;15,788;8,09;10,693
01/07/1945;28,85;11,959;16,806
01/08/1945;28,85;11,959;16,806
01/09/1945;19,124;13,788;15,974
01/10/1945;19,124;13,788;15,974
01/11/1945;32,017;19,124;25,157
01/12/1945;32,017;19,124;25,157
01/01/1946;41,469;28,85;33,014
01/02/1946;41,469;28,85;33,014
01/03/1946;106,997;36,179;49,406
01/04/1946;106,997;36,179;49,406
01/05/1946;163,477;46,12;67,539
01/06/1946;163,477;46,12;67,539
01/07/1946;125,634;56,074;79,674
01/08/1946;125,634;56,074;79,674
01/09/1946;75,532;28,85;50,805
01/10/1946;75,532;28,85;50,805
01/11/1946;59,227;19,124;31,245
01/12/1946;59,227;19,124;31,245
01/01/1947;200,521;69,262;103,703
01/02/1947;158,2;68,064;100,212
01/03/1947;105,908;43,057;62,512
01/04/1947;487,578;12,234;46,251
01/05/1947;15,568;7,019;9,635
01/06/1947;39,412;9,773;12,478
01/07/1947;27,807;11,375;15,356
01/08/1947;46,846;15,06;20,216
01/09/1947;24,828;17,708;20,708
01/10/1947;34,217;24,828;27,327
01/11/1947;85,966;34,217;50,941
01/12/1947;124,685;37,644;57,757
01/01/1948;110,119;18,271;34,519
01/02/1948;57,998;28,576;37,656
01/03/1948;89,805;40,31;59,565
